ATNn,CLKn,DATAn,datastream
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
1,0,1,0 | () 0x0
